,count,position x min,position x max,position y min,position y max,position z min,position z max,scale l min,scale l max,scale w min,scale w max,scale h min,scale h max,scale l avg,scale w avg,scale h avg
Car,11979,-82.923,57.038,-66.406,65.249,-15.622,20.070,0.076,9.457,0.010,5.220,0.005,2.715,3.652,1.276,1.134
Bus,1428,-47.215,63.792,-90.372,29.050,-14.247,21.369,0.100,15.176,0.041,4.421,0.183,5.775,9.918,2.451,2.953
SUV,4846,-87.041,50.793,-60.084,48.633,-15.313,20.203,0.056,7.014,0.018,3.200,0.005,3.122,3.681,1.328,1.294
Light_Car,455,-42.560,41.681,-60.028,20.596,-14.879,3.058,0.535,8.038,0.027,2.744,0.064,1.988,3.163,1.366,1.300
Adult,7667,-36.430,41.872,-53.722,-0.788,-15.360,20.935,0.010,2.929,0.006,4.077,0.000,2.450,0.404,0.475,1.161
Small_Car,1228,-43.822,54.502,-59.714,33.660,-15.202,19.807,0.223,5.785,0.009,3.253,0.023,2.220,3.071,1.318,1.252
Van,1143,-45.069,49.695,-56.052,5.508,-15.030,19.926,0.125,10.777,0.010,3.047,0.013,3.796,4.064,1.427,1.487
Kid,50,-28.985,8.035,-46.183,-12.443,-12.490,-9.911,0.042,1.032,0.143,0.838,0.009,1.641,0.539,0.512,1.204
Two_Wheeler,1950,-46.605,46.954,-52.996,10.548,-15.199,2.046,0.165,4.822,0.041,3.152,0.046,2.496,1.656,0.556,1.225
Medium_Truck,1011,-64.402,49.520,-86.608,50.622,-15.322,21.017,0.156,12.629,0.040,5.728,0.014,3.651,4.517,1.568,1.936
Small_Truck,480,-43.323,60.941,-59.627,19.848,-14.688,3.622,0.429,7.122,0.035,3.212,0.027,3.435,4.550,1.603,1.895
Special_Vehicle,192,-36.323,42.864,-51.142,37.131,-13.417,5.158,0.420,19.562,0.212,3.160,0.247,4.209,6.996,2.064,2.572
Kickboard,755,-19.955,7.125,-47.565,-6.558,-12.430,0.812,0.021,1.242,0.075,1.208,0.031,2.067,0.183,0.160,0.595
Mini_Bus,69,-39.701,48.267,-63.660,-6.621,-14.456,-8.227,0.983,8.002,0.092,2.508,0.215,3.092,6.413,1.937,2.420
Large_Truck,119,-41.671,40.409,-51.117,-5.195,-13.833,2.021,1.889,18.321,0.460,3.131,0.717,4.332,7.812,2.224,2.910
